X,Y,Label,Region,Revenue,Employees
1.25,6.26,Alpha Corp,Technology,$420M,3200
0.81,7.37,Beta Inc,Technology,$180M,1100
4.52,4.46,Gamma LLC,Healthcare,$310M,2800
6.78,1.79,Delta Co,Energy,$590M,4500
2.39,7.09,Epsilon Ltd,Technology,$95M,650
5.53,3.86,Zeta Group,Finance,$780M,5200
3.17,5.00,Eta Partners,Finance,$210M,1400
7.84,1.22,Theta Ventures,Energy,$440M,3100
1.96,5.74,Iota Systems,Technology,$155M,980
4.28,4.71,Kappa Tech,Technology,$270M,2100
0.73,6.83,Lambda AI,Technology,$88M,420
8.81,0.90,Mu Robotics,Energy,$620M,4800
6.24,2.86,Nu Energy,Energy,$510M,3900
3.56,3.58,Xi Finance,Finance,$340M,2500
5.19,5.38,Omicron Health,Healthcare,$290M,2200
2.73,4.25,Pi Media,Consumer,$130M,870
7.36,2.31,Rho Logistics,Consumer,$460M,3400
1.64,3.14,Sigma Bio,Healthcare,$175M,1250
8.47,0.60,Tau Materials,Energy,$700M,5600
3.91,5.81,Upsilon Foods,Consumer,$220M,1650
9.23,1.50,Phi Aero,Energy,$830M,6100
5.87,3.38,Chi Analytics,Technology,$350M,2700
1.18,5.19,Psi Networks,Technology,$110M,750
4.75,6.51,Omega Cloud,Technology,$400M,3050
3.32,2.37,Star Digital,Consumer,$145M,1020
6.94,4.17,Nova Pharma,Healthcare,$560M,4200
2.51,6.14,Apex Labs,Healthcare,$190M,1350
8.29,2.68,Zenith Data,Technology,$680M,5100
1.57,3.78,Pulse IoT,Technology,$72M,380
5.62,4.94,Orbit Space,Energy,$480M,3600
2.14,6.70,Vertex AI,Technology,$240M,1800
4.46,1.56,Prism Optics,Consumer,$165M,1150
7.61,3.34,Forge Steel,Energy,$590M,4400
2.98,4.51,Tide Marine,Energy,$200M,1500
6.35,5.99,Crest Solar,Energy,$370M,2850
1.82,2.54,Ember Heat,Energy,$85M,580
8.74,2.05,Frost Cool,Consumer,$520M,3800
5.27,5.48,Peak Summit,Consumer,$300M,2300
0.96,3.61,Vale Agri,Consumer,$60M,350
7.13,3.06,Drift Auto,Consumer,$430M,3250
3.68,7.30,Bloom Garden,Consumer,$255M,1900
9.51,0.71,Swift Delivery,Consumer,$750M,5800
4.12,4.37,Spark Electric,Energy,$280M,2150
6.08,3.82,Wave Audio,Technology,$360M,2750
8.35,2.50,Stone Mining,Energy,$640M,4900
1.43,5.58,Globe Travel,Consumer,$120M,820
4.89,2.91,Link Comms,Technology,$230M,1700
2.27,6.57,Core Compute,Technology,$170M,1200
7.48,1.18,Edge Security,Technology,$500M,3700
3.84,4.78,Nest Housing,Consumer,$195M,1450
